ECAL,eH0_11,eH1_11,eH2_11,mpST11,mpST12,strawSelection,index
6.042000282743754,5.784026763129495,4.910118645848035,4.765195993696618,1.0,0.0,-10.0,1687
8.234303996028494,6.568794213403346,4.708160038306728,3.465597086324813,0.0,0.0,-30.0,1691
6.689434660613894,4.417950090430569,5.83155479275525,5.523295356330171,0.0,0.0,-30.0,1718
6.74068475731854,3.8947717902480017,5.112077253389343,2.8157976326389105,0.0,0.0,-30.0,1742
3.049622458504676,6.525196021721466,4.6198031475074055,5.812095113523905,0.0,0.0,-30.0,1753
10.541677741629185,5.609633996401973,4.392599714023435,2.5630978450943926,0.0,0.0,-30.0,1754
8.995995842925147,5.682297649205107,4.58193590859341,2.370564673631903,0.0,0.0,-30.0,1757
7.6308031496990525,8.559778300209228,5.364525512815977,5.763961820658283,0.0,1.0,-30.0,1783
5.009170572366843,5.231783001825674,6.450053028350503,5.463128740248143,0.0,0.0,-30.0,1804
6.060077826218691,4.8248665461281215,5.263546209045323,0.8784325947976088,0.0,0.0,-30.0,1820
8.946974615180729,6.4961305606002115,3.91294802111283,5.751928497441877,0.0,1.0,-30.0,1831
6.928936969239489,5.377110307431943,5.806309966812586,2.9000308951537495,0.0,0.0,-30.0,1856
8.683358758123841,5.740428571447614,3.2818273725462443,3.188830652347484,0.0,0.0,-30.0,1870
6.8833313174432815,8.03660000002666,4.594558321564742,5.234495599136436,0.0,0.0,-30.0,1871
8.964662504472294,4.388884629309315,6.109247878124547,2.611231137960015,1.0,0.0,10.0,1872
5.640524112322365,4.2290245931424195,5.200434144188664,6.088861547501233,0.0,0.0,-30.0,1892
7.77317269241882,3.705846292959852,5.250923796073991,1.8410984521100568,0.0,0.0,-30.0,1908
3.2566250305958038,5.51048712054091,5.265240321675494,2.3339472759048956,0.0,0.0,-30.0,2165
1.3634687865195447,6.4143236323756625,4.899072529520604,6.328125088278222,0.0,0.0,-30.0,2177
10.183672820579075,3.819438162914599,2.133874374971603,3.705442066900556,1.0,0.0,10.0,2178
4.769413126321988,4.767008699515549,5.214734419309302,4.475404054827944,0.0,0.0,-30.0,2197
7.416065437411693,4.956522806835739,2.424283313577206,2.670805645623128,1.0,0.0,10.0,2205
7.942680235494587,5.000256831601937,5.808178772112056,4.126515029048346,0.0,0.0,-30.0,2221
7.941713845195947,3.702814096871405,4.3561340790840415,2.2016100592298757,0.0,0.0,-30.0,2235
5.473006467251282,6.764195830505244,5.896564101252892,2.839234830482244,0.0,0.0,-30.0,2244
8.335708726889232,6.720461805739046,7.765282488801988,7.350730853494285,0.0,0.0,-30.0,2246
6.645793567376556,4.460870526152165,5.378878601999426,3.296399760814131,0.0,0.0,-30.0,2254
6.439401273478621,6.297699566332469,8.144076756548426,6.725136738303282,0.0,0.0,-30.0,2270
4.512332902517198,6.735039813994446,4.9243254807037,4.451342742705213,0.0,0.0,-30.0,2285
9.65043052468132,4.417136501385968,3.421774885309494,3.40467566536642,0.0,0.0,-30.0,2308
10.712092221559564,4.2276223940657776,4.229869323168563,2.2737939955980684,0.0,0.0,-30.0,2309
4.494208963067503,4.869054757303344,4.974831383069891,5.17318210638714,0.0,1.0,-30.0,2324
8.18584955731192,4.839898740792545,6.161720088675398,5.798776221578143,0.0,0.0,-30.0,2329
6.089076409042276,5.335551021476119,8.232462085689262,2.1895794031685103,0.0,0.0,-30.0,2331
6.902812132185712,4.956522806835739,4.79806072478822,3.7295033790232868,0.0,0.0,-30.0,2342
3.1030819275893085,6.501791681908058,8.724894633759632,6.520615585260069,1.0,1.0,-10.0,2346
4.994133745228232,7.02659997910243,5.202107943717754,4.535557335134771,0.0,0.0,-30.0,2352
6.867185225081757,8.149106614768172,4.570784164140357,2.5264377728867426,0.0,0.0,-30.0,2376
7.130728772640612,3.2946298657202266,4.1036045672530825,4.246821589662001,1.0,0.0,10.0,2410
4.4529635572989275,3.6153460473390098,3.9394603845629597,6.496554273137338,1.0,0.0,10.0,2429
9.32923093853238,6.8516638800376395,5.467263931140261,1.8647516895116434,0.0,0.0,-30.0,2436
7.865029464663062,5.904093343436689,3.825822104239028,5.269427354878063,0.0,0.0,-30.0,2444
6.880914384320635,4.737852683004751,6.944561575351371,5.293488667000794,0.0,1.0,-30.0,2486
7.465586382850204,5.073146872878933,4.722301871238932,3.7776260032687485,0.0,0.0,-30.0,2506
7.7211382646665285,7.245270102933419,3.611172019182713,1.7324144728366235,0.0,0.0,-30.0,2566
6.040556868625172,4.37340247661977,6.325864271365521,3.0196946714027257,0.0,0.0,-30.0,2664
3.2225002495281148,5.5979551700733055,5.088469663393823,6.3401557443395875,0.0,0.0,-30.0,2806
3.18947100490591,7.114068028634826,5.088469663393823,3.1520318880777456,0.0,0.0,-30.0,2807
4.1490546511843025,4.854476749047945,5.416758028774069,2.237702027413972,0.0,0.0,-30.0,2865
8.830984317378658,7.0994900203794264,3.0051011907884115,2.45425383651855,0.0,0.0,-30.0,2882
11.223800489159109,3.7757041381484013,5.631408113830385,2.3580085880276265,0.0,0.0,-30.0,2904
6.978592520920918,5.418110777968163,5.635871307429187,2.603149625462504,0.0,0.0,-30.0,2942
4.854372660295482,3.641440306059904,4.740688169112694,11.012402563016494,2.0,2.0,20.0,2958
